10;42;4.57
10;105;3.72
42;93;3.42
105;93;3.24
42;56;3.12
21;93;2.81
42;10;2.77
105;10;2.14
93;42;1.65
91;10;1.63
59;93;1.58
10;91;1.35
59;10;1.28
56;42;1.18
93;105;1.15
21;10;1
10;21;0.99
10;60;0.92
10;59;0.89
105;185;0.81
99;105;0.73
42;185;0.73
10;56;0.66
10;89;0.66
208;105;0.66
208;42;0.64
10;84;0.62
99;42;0.61
117;42;0.59
10;52;0.58
21;185;0.56
52;93;0.52
89;10;0.49
93;59;0.48
93;91;0.47
42;99;0.46
117;6;0.46
10;185;0.44
88;56;0.42
105;99;0.42
115;42;0.41
6;93;0.4
59;185;0.39
99;21;0.37
10;66;0.35
105;149;0.35
21;99;0.34
51;93;0.34
105;56;0.33
93;21;0.33
161;42;0.32
117;59;0.32
42;149;0.31
59;60;0.31
52;10;0.31
10;6;0.29
42;84;0.29
117;105;0.29
51;10;0.29
42;209;0.28
42;117;0.28
91;93;0.27
93;52;0.27
36;42;0.26
88;42;0.26
115;105;0.26
42;208;0.25
93;10;0.25
99;59;0.24
149;105;0.24
42;60;0.24
36;105;0.23
185;42;0.23
6;56;0.23
117;21;0.22
60;42;0.22
59;99;0.22
10;51;0.21
208;21;0.21
10;141;0.21
6;10;0.21
10;93;0.21
10;111;0.21
149;10;0.21
139;105;0.21
105;208;0.2
139;42;0.2
185;105;0.2
17;93;0.19
6;99;0.19
60;59;0.19
45;10;0.19
42;161;0.19
59;149;0.19
59;209;0.19
105;209;0.19
36;91;0.19
10;165;0.18
82;42;0.18
10;58;0.18
