1016;840;2.1049229289377
643;752;9.16815
643;203;4.18084
860;704;0.511
643;980;2.42219
1019;840;0.00011455663145303
498;946;3.887
643;860;0.00789817
980;860;0.0032529
1050;124;6.7887455090751E-6
985;946;0.8579
643;944;60.2213
643;826;125.4927
860;980;307.11
978;946;0.20098886521687
978;840;0.97352024922118
764;348;0.0861
978;764;0.028096201393572
1048;840;0.007299769225694
978;156;0.13278272762279
156;949;0.1917
156;764;0.2119
156;643;0.0693
156;978;7.529
398;392;3.4
398;752;47.46
398;203;21.59
398;826;646.17
398;980;12.56
398;860;0.0409
398;51;1.331
1050;840;9.7841097056998E-6
764;376;9.5345
764;985;8.3299
1049;949;0.00027508064642466
1049;764;0.00028391010271643
1049;840;0.0097841097056999
1049;752;0.00087710414873245
1049;643;9.5479851312818E-5
1049;985;0.0023652826648788
1049;554;0.0054760206152462
978;554;0.54380336070477
860;840;12955.26
840;554;0.55968509877602
826;156;0.11128298149364
1049;392;6.2841718615857E-5
1049;356;0.00011297525835741
1049;348;2.4420599052523E-5
398;949;14.94
643;840;102.3762
1049;344;0.0012564528276094
981;944;1.6706
1045;840;0.00029236969410049
51;840;398.94
51;974;114.91
51;860;0.030759
51;980;9.4677
51;643;3.8929
51;398;0.75188
51;156;54.434
643;818;2.03226
498;752;1.6838
643;764;2.96082
764;818;0.6842
1052;840;157.76142709047
764;704;0.001359
764;643;0.3366
398;764;15.31
51;752;35.746
840;498;0.053304750615323
1044;840;0.023054900895552
840;586;0.0035854097101278
1015;840;0.00068027995999293
764;203;1.4047
1043;840;0.0045564076451763
51;392;2.5606
344;554;4.3585
348;946;83.21
1049;826;0.011932700049031
1049;978;0.010081836281464
156;392;0.046906
398;643;5.16
978;826;1.1868309240666
398;985;127.69
1046;840;0.017126366208958
978;756;1.0665529010239
980;756;46.2093
1038;840;36.565898808223
1021;840;0.1779628713028
1039;840;0.0020794781718169
643;972;9.35224
1023;840;0.17904019088284
643;702;74.8692
348;608;6.87
985;840;4.1462
156;360;0.000444
840;50;0.0082249080037871
348;840;402.13
860;949;365.61
972;586;0.03924
981;784;0.77354
498;981;6.611
981;51;0.0071477
764;50;0.2838
1036;840;1.0021714050984
981;756;3.1171
1037;840;0.059181912288193
860;972;1184.75
1027;840;4.0488576983366
980;959;114059.56
1026;840;0.085147123699494
643;946;21.1753
1024;840;0.88963276447792
1040;840;0.017921592042499
764;784;9.3883
498;944;11.0551
643;985;24.7089
