792;SberBit;;0;0
1137;Пандпэй;;0;115434561
793;IceBTC;;0;98354476
788;FlyMoney;;0;1404033
807;CryptoBar;;0;13333308
808;ChangeCoins;;0;4032185
835;7Pay;709807738416;1735;2215268
827;Crypster;;0;52914798
818;R-Obmen;;0;9472069
817;Enter-Change;;0;452867573
812;Ex-Bank;;0;20121926
823;Обменочка;;0;11747912
809;XbitMoney;155289860990;1870;2921475
825;MyChanger;;0;1722603
816;KZ007;;0;99004425
1139;ПоТеме;;0;198259953
840;YoChange;;0;291626144
839;MyInvestStory;;0;6717
815;Belqi;;0;0
842;AllMoney;406103529800;0;6678432
850;Keine-Exchange;;0;169375759
848;SwapCoin;;0;66270887
852;RamonCash;;0;252099266
855;CoinStart;;0;20603779
858;FixedFloat;;0;37616005
865;Bixter;;0;37731424
869;ExpoChange;412963033166;0;944192
866;Delets;;0;191862601
871;BitokAi;;0;479067447
895;CryptoBarMen;;0;346524768
881;JetMonet;;0;20060467
877;Об-мен;963523258975;0;0
890;Bitcoff;631856629771;0;24220222
907;ObmenAT24;;0;22494709
874;ChangeHero;;0;250555601
1093;GetExch;;0;16632894
902;BTC-Волга;;0;152202775
897;AnonEx;;0;0
888;GramBit;;0;120993938
894;КупиБит;;0;1032692
898;Вобменка;;0;243865160
899;CoinShop24;;0;101794775
896;CoinChanger;;0;3328761
915;CoinGuru;;0;163232255
989;CoinsBlack;890273718097;0;0
913;Quantex;;0;20455989
917;Micro-exchange;;0;62259399
925;Sunduk;;0;1475315
918;КриптоРай;;0;3009
939;EuroBit;;0;23942240
943;TopCash;;0;1169096
927;Msk-Exchange;;0;28812319
933;TytCash;;0;175953
930;Crypto-Store;;0;29063978
942;ExHub;;0;5440621
944;EExchanger;;0;72355708
949;Coco-Pay;;0;8053553
948;AbcObmen;;0;0
950;UAchanger;;0;252416047
952;ExLine;;0;922682
954;E-Change;;0;1022646989
960;Crybex;195257639270;0;76912637
953;Livex;;0;0
956;Обменко;;0;81809457
958;24Zone;;0;3127204
963;Global-Ex;;0;80604998
955;AlfaBit;;0;148674513
967;КриптоОбмен;;0;1970030
981;WMChanger;;0;128550196
971;CryptoSell;;0;14645
997;CoinJoin;;0;56151037
985;Tuco;;0;38613310
968;CryptoMax;;0;133368556
977;CityBit;;0;350327909
984;Cash-Bit;;0;16034413
969;4Money;;0;64801379
976;ChangeProject;;0;111619156
992;OneMoment;;0;623222366
987;Itez;;0;49897
982;WxMoney;;0;106894235
974;BestKurs24;;0;940669
975;PremierCash;;0;3801494
1011;IChangeOne;137024936562;0;4102391
999;LetsPay;;0;4054683
1027;Nordex;;0;50208577
1040;HiExchange;209080513788;578;4098971
1013;AvanChange;359556728149;0;121330781
1008;BroExchange;;0;162154623
1005;EezyCash;594705036984;3;87530976
1006;Сова;;0;716061729
1002;ExCenter;;0;160103398
1014;Coin24;;0;209567050
1015;ТочкаОбмена;512160110371;0;72269
1010;Coinumm;;0;20463177
1039;Xenex;;0;0
1026;Ripae;;0;43349
1021;Крипта;;0;410127213
1009;CryptoShopping;;0;1167873
1029;SwiftChange;;0;15793252
1004;ExWm;910856141988;1274;265630
1036;CoinCat;;0;36305687
1028;BTCSale;;0;55502
1030;PocketBank;;0;320254419
1023;UnioChange;;0;17164904
1033;CosmoChanger;;0;445891019
1035;CryptoXchange;;0;132593374
1037;Crypik;;0;8180631
1034;ClickPay;285857469245;0;44852545
1047;Money-Office;;0;800000
1046;Муха;;0;441458
1044;BitBong;;0;53665967
1041;AnyExchange;;0;255841663
1042;CoinBox;;0;9715
1050;Kursov24;;0;450870505
1055;Finex24;;0;362748098
1065;X-Obmen;905028210175;0;2468096
1053;ATMExchanger;;0;18943626
1059;ОбменкаSU;;0;1487879
1057;Fly-Pay;206304305615;79;1636064
1056;First-BTC;;0;48255357
1064;ObmenGuru;185471005666;171;21321
1051;КриптоКасса;;0;0
1058;EasyBit;;0;346129237
1061;Adb;;0;136065478
1069;Clean-Exchange;;0;41852682
1063;Оборот;;0;157089
1067;InstaBit;557452850931;0;359923
1066;1Million;;0;6875908
1074;CoinBlinker;;0;102730103
1374;XStable;;0;0
1068;Paynote;;0;2338203
1071;CoinDrop;;0;9484350
1072;N1ex;;0;46315
1073;IziBTC;;0;316586748
1078;AtPayz;806980557044;986;0
1083;ExpressMoney;;0;740838
1092;Cash2Pay;;0;36276273
1100;CoolCoin;;0;128207856
1086;ExchangeForMe;;0;108481377
1102;ZombieCash;708628165872;0;17958717
1105;LigaBTC;283450596145;0;73989547
1089;AllTop;;0;2501548
1098;CashBox;;0;29928220
1101;GrumBot;;0;191383744
1095;YaObmen;;0;7942341
1106;NiceObmen;;0;222569230
1108;SmartMoney;556315249748;0;163903
1110;XChanger;;0;0
1113;Crypto-Polis;;0;74364099
1115;CriptHub;396352330360;0;39712815
1116;ExBit;;0;7005138
1114;YesObmen;;0;80589070
1126;Bitcoin-Armenia;;0;110000
1124;1654Exchange;;0;15086734
1121;LetsExchange;;0;420110541
1119;Crypto-Dom;;0;61682554
1122;CoinTok;;0;22890368
1120;ExWhite;;0;4630953
1127;ВсемОбмен;;0;0
1128;BTchange;257686064312;132;19258314
1129;ExBaza;;0;10019610
1132;CryptoGin;;0;735240947
1131;Арбуз;;0;3924321
1163;JarvisExchange;;0;159780981
1149;БухтаОбмена;;0;186339742
1134;InstantExchangers;;0;2691408
1151;Ecurex;;0;45571
1165;Метка;;0;327638213
1136;ЗеленаяСвеча;139305014241;0;22515162
1138;EasyGlobal;;0;27952720
1148;CryexPro;;0;21701649
1141;Kingex;;0;0
1144;LetsChange;;0;520410367
1158;TradeToCash;;0;846621823
1156;LovanPay;;0;637488863
1154;111Обмен;;0;306091981
1153;Урал-Обмен;;0;0
1157;Е-Банк;;0;219674
1145;Даркен;;0;123532685
1155;ECashExpert;;0;50633664
1161;CoinCraddle;;0;44259865
1166;Bit100k;;0;8345306
1150;UkrExchange;;0;65930
1195;AltinBit;999428043283;0;6019173
1203;WeDoExchange;;0;20654596
1189;BelkaPay;;0;32986948
1177;MoneyPort;;0;25406683
1167;Changee;;0;32310010
1168;CatChange;;0;40150314
1174;FreeChange;;0;56627264
1206;Sellver;;0;0
1198;CryptoSwap365;;0;18015712
1175;Dvizh;;0;112829637
1193;KeyChanger;;0;6904157
1170;Monease;;0;326578485
1196;EpiChange;;0;13115288
1187;eBTCpro;;0;33623322
1173;BroGuru;;0;204606152
1211;Криптохаб;;0;110082946
1183;Crypcie;;0;31438059
1179;Convertex24;;0;5446382
1171;Альткоин;;0;365934655
1172;Обмен-Бро;483565345269;1052;41516
1180;Мытнинский;;0;53689159
1184;X-Capital;;0;157819493
1214;Cryptofiat;668272779686;0;23522726
1202;Лимончик;303419094326;0;8885827
1199;DoubleSwap;;0;5910967
1178;Банка;;0;3064577
1210;16Tonn;;0;13517600
1185;Expa24;;0;17676
1190;Daeo;;0;21068297
1191;SendNow;;0;311330474
1209;Cerber;;0;6246612
1204;LightObmen;166425924865;0;61619199
1186;Nadex;;0;300932968
1181;SwapEx;;0;198099156
1205;CoinFusionOne;;0;126128
1188;Intercontinental;;0;0
1197;Dashka;;0;5844070
1208;VeanEx;;0;27405
1194;FloatChange;;0;43330155
1213;CleanCoins;;0;11833268
1207;Криптолоджик;;0;339862
